date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return,ticker,RSI,bb_pos,bb_width,volume_change,ma_50,price_percentile_60,price_vs_ma50,price_vs_ma252,c_10d_trend,3d_P,vc_5d_mean,vc_5d_trend,volume_momentum_5d,rsi_50,rsi_5d_trend,overbought,oversold,bb_5d_mean,bb_breakout_up,bb_breakout_down,amplitude,amp_5d_mean,amp_percentile,momentum_5d,volatility_22d,market_uptrend,market_volatility,momentum_10d_percentile
2023-07-03,59.45209865727964,59.67200787903989,59.35648722080735,59.36604690551758,4219400,0.0,0.0,0.0,0.0030694501280741,EWJ,-0.06419321006571053,0.4787433419100084,0.05927319669596859,-0.3009956430263572,57.84013771057129,0.8333333333333334,0.026381493117838772,,-0.0010288528349703925,0.00436747085147382,0.015802561194358255,-4.582793153580021,0.0032574838909098514,0.16280372714952066,0.0040704676717829786,0.1,0.0,0.4247838802897891,0,0,0.005331147173418131,0.00592844655642077,0.35,0.0192934021998593,0.2118348945235885,0.0,0.009301099433542617,0.24793388429752067
2023-07-05,58.97403321836011,58.98359290291442,58.80192971764303,58.87842178344727,6195000,0.0,0.0,0.0,-0.008213872196112,EWJ,-0.2699857087641102,0.3357184343013129,0.05868346377110417,0.4682182300801061,57.89699775695801,0.7833333333333333,0.016951207567085236,,-0.0007461880205440707,0.00113815341662038,0.10025867600273271,0.27033862863937597,0.40830662211007307,0.1278636866180581,-0.08733987757686261,0.1,0.0,0.4172540549963812,0,0,0.0030600519108255736,0.005194208950483374,0.05,0.0073035323974548,0.198692102126053,0.0,0.009068822377460492,0.2644628099173554
2023-07-06,58.16132336284538,58.19956574727626,57.75974732391122,58.10395431518555,9312900,0.0,0.0,0.0,-0.0131536723438373,EWJ,-0.3980410234128482,0.15624765273379956,0.06173069342764971,0.5032929782082325,57.938938217163084,0.6166666666666667,0.002848103591473583,,-0.00025225028944401957,-0.01825530680933618,0.1770203883326422,0.6410469249136701,0.8911361559549194,0.09396693662379718,-0.12280408344455884,0.1,0.0,0.35338828286563256,0,0,0.00746994246861229,0.005314294843658545,0.75,-0.016972249536609002,0.19307328572772595,0.0,0.009241166699214862,0.09917355371900827
2023-07-07,58.39079399762807,59.20350213662793,58.39079399762807,58.93578720092773,6669900,0.0,0.0,0.0,0.0143162869988142,EWJ,-0.24137863188603917,0.371133272007297,0.059899069153710745,-0.28379989047450316,58.00530197143555,0.7833333333333333,0.016041382388637393,,0.0008869818912327616,-0.007247572089053134,0.09517359939400108,0.061344948906293,0.20347515427086726,0.14202788848272832,-0.09328338804570023,0.1,0.0,0.3553327981829457,0,0,0.013987139921515755,0.007335282093325157,1.0,0.0023587585489195997,0.19909275857346298,0.0,0.0087268161758225,0.2975206611570248
2023-07-10,58.562897308782176,58.87842160827224,58.562897308782176,58.849735260009766,6002300,0.0,0.0,0.0,-0.0014600965729802,EWJ,-0.1921564514269238,0.3463782356457198,0.059833626237743784,-0.10009145564401267,58.0739330291748,0.7333333333333333,0.01335887187880358,,0.00043465078139648806,-0.000487216242701205,0.057324843828693184,-0.6109214127760569,-0.005632589500190521,0.14772582162803785,-0.029643307529834746,0.1,0.0,0.33764418731962753,0,0,0.005353696191659554,0.00704039553320626,0.45,-0.005441903986041199,0.18590466866680275,0.0,0.008316498348373709,0.4132231404958678
2023-07-11,58.80193390712995,59.11745823003905,58.69675913282692,59.10789489746094,6165800,0.0,0.0,0.0,0.0043867595378395,EWJ,-0.0506423983608552,0.4245681791101028,0.059985540700637684,0.027239558169368516,58.12968498229981,0.7916666666666666,0.016828061522421667,,9.645021503330704e-05,0.017278352120915885,0.12297188406783832,-1.2078710421760486,0.4612978148551927,0.12325140268848699,0.0837584981917017,0.1,0.0,0.32680915475964645,0,0,0.007148699910940927,0.00740390608071082,0.7,-0.004124594576275799,0.1639651489478914,0.0,0.00811858254372165,0.38016528925619836
2023-07-12,59.25131276853562,59.87279440360761,59.20350340270179,59.51902770996094,10371200,0.0,0.0,0.0,0.0069556328002076,EWJ,-0.09747556154846179,0.5451654319760448,0.05955821467010129,0.6820526127996367,58.20258575439453,0.8666666666666667,0.022618272685024365,,0.00020924937772290916,0.009896202913940666,0.16573876061174445,0.40338102889089994,0.6741242937853107,0.15955824325068746,0.09848344508836775,0.1,0.0,0.3686985542945928,0,0,0.011323208212149771,0.009056537340975659,0.9,0.0110449104200438,0.16314584818072558,0.0,0.008401306928856564,0.35537190082644626
2023-07-13,60.36042029621223,60.46559506195469,60.2743685467268,60.4082260131836,10043100,0.0,0.0,0.0,0.0149397316696058,EWJ,0.10565187129952364,0.8092348639293896,0.05801554305461724,-0.03163568343103984,58.29459991455078,0.95,0.0362576654052178,,0.0016575581519399066,0.02648254484558188,0.05875302828388997,2.1896275308813773,0.07840737042167323,0.1922030107166711,0.08717308803822268,0.1,0.0,0.4992959965337108,0,0,0.0032128635595283085,0.008205121559158863,0.1,0.039138314433486907,0.16638574921240648,0.0,0.00854805763774944,0.30578512396694213
2023-07-14,59.80586593225205,59.93016371875214,59.63376242704962,59.68156814575195,8611500,0.0,0.0,0.0,-0.0120291211212368,EWJ,0.23893419194479762,0.630632706350287,0.05216753906856911,-0.1425456283418466,58.38138687133789,0.85,0.02227047598714016,,0.0018322744118658256,0.00970552663542179,0.08700388071042128,-0.16526111918459965,0.2910988170737192,0.18198150423194448,0.10175980506884397,0.05,0.0,0.5511958834023087,0,0,0.0049066379078544,0.006389021156426591,0.35,0.0127929063134359,0.170573615017325,0.0,0.00836737166058637,0.2975206611570248
2023-07-17,59.499905129473966,59.777183405036645,59.39473035961622,59.71025466918945,9922700,0.0,0.0,0.0,0.0004806596798436,EWJ,0.2424095695292867,0.6811691653861824,0.04594238914361292,0.15226151077048122,58.46210052490235,0.8583333333333333,0.021349799837510952,,0.002275601257253253,0.0032128710193382037,0.13747447399332008,-0.41793528591146023,0.6531496259767089,0.1713489961734173,0.08480735776391507,0.0,0.0,0.6181540693504013,0,0,0.006408227151243996,0.00659992734834348,0.55,0.014733662566259702,0.16274416574583409,0.0,0.00824811495089441,0.256198347107438
