date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return,ticker,RSI,bb_pos,bb_width,volume_change,ma_50,price_percentile_60,price_vs_ma50,price_vs_ma252,c_10d_trend,3d_P,vc_5d_mean,vc_5d_trend,volume_momentum_5d,rsi_50,rsi_5d_trend,overbought,oversold,bb_5d_mean,bb_breakout_up,bb_breakout_down,amplitude,amp_5d_mean,amp_percentile,momentum_5d,volatility_22d,market_uptrend,market_volatility,momentum_10d_percentile
2023-07-03,60.92125804162876,61.53699750160402,60.71600918237059,61.509010314941406,8164600,0.0,0.0,0.0,0.0074876993063524,XLU,0.03339689402910068,0.6000519280218788,0.0360873196256063,-0.41385424967514517,61.9517520904541,0.4166666666666667,-0.007146557773963447,,-0.0014095690621228072,0.018695822891852787,0.018181080790973338,-6.957619692622259,-0.2048190424247146,-0.12224744004007021,-0.00766905343239105,0.1,0.05,0.407713537129306,0,0,0.013447389718461355,0.012816462175785182,0.5,0.0041508399889695945,0.1395736474204923,0.0,0.009301099433542617,0.30578512396694213
2023-07-05,61.29442893061279,62.67518942973579,61.21046737211838,62.208717346191406,19169000,0.0,0.0,0.0,0.0113756834595017,XLU,0.13132081487778038,0.8734466645263597,0.036578652254449284,1.3478186316537246,61.90726005554199,0.55,0.004869498187756172,,-6.74030319736276e-05,0.03028418411458711,0.3219728643113244,0.2566491265751997,1.2524205677758977,-0.09492990086906004,0.09968327965333637,0.1,0.0,0.4704905965166549,0,0,0.023813129980756756,0.01623907046389772,0.95,0.015221927695041795,0.14032785119400112,0.0,0.009068822377460492,0.5702479338842975
2023-07-06,61.71427199289689,61.89152658451082,61.11718816074308,61.45304870605469,15422800,0.0,0.0,0.0,-0.0121473110582143,XLU,0.027199085040621043,0.5169416668015968,0.03408739206208675,-0.19543012155041994,61.841176223754886,0.4,-0.006276198827394053,,0.0010101857740959202,0.006571075346739397,0.1368678514695615,0.7422494007716764,0.04747415748651851,-0.141262448953554,0.0762156561904788,0.1,0.0,0.5273957984060044,0,0,0.012447426290089627,0.015318614635264747,0.45,0.017840895954344793,0.14471788184180903,0.0,0.009241166699214862,0.4297520661157025
2023-07-07,61.05187619655397,61.43437965157442,60.84662731531372,61.00522613525391,12893800,0.0,0.0,0.0,-0.0072872311501228,XLU,-0.12105334152517529,0.31818546376220586,0.034563491818304475,-0.1639780065876495,61.767431564331055,0.23333333333333334,-0.012339924289765936,,0.0012895802094399177,-0.008190412707146377,0.10502173330176198,-0.010128104015014542,-0.12011136966950775,-0.1561605832972535,-0.012704396600001661,0.1,0.0,0.5471123362345807,0,0,0.009564250246917217,0.014110320935635459,0.2,0.010553664804221995,0.14661783293666356,0.0,0.0087268161758225,0.38016528925619836
2023-07-10,60.90259829228116,61.10784716205509,60.25886449486288,60.74399948120117,12410100,0.0,0.0,0.0,-0.0042820373040429,XLU,-0.2021553426316953,0.2249452097206231,0.03520602129695031,-0.03751415408956238,61.718818740844725,0.21666666666666667,-0.015794522311530113,,0.00046064306515078684,-0.023545218861193984,0.10740841995018953,-0.7067569259674871,-0.10906506428894491,-0.10900169274127933,-0.07429882973161635,0.1,0.0,0.5067141865665328,0,0,0.013916556350597596,0.014637750517364509,0.65,-0.004853196746525906,0.1474276115252433,0.0,0.008316498348373709,0.2644628099173554
2023-07-11,60.86528477943707,61.518350066988674,60.6413801380652,61.49968719482422,11435900,0.0,0.0,0.0,0.0124405327287828,XLU,-0.0019777040381083566,0.5734988172131216,0.03525132114436121,-0.07850057614362493,61.6701416015625,0.4666666666666667,-0.0027639697641616,,0.0009421918761452025,0.0007589288042098019,0.17447915465649358,-1.5444380467334822,0.40066874066090197,-0.10762120821325638,-0.051305322124072954,0.1,0.0,0.5014035644047814,0,0,0.014437145008781875,0.014835701575428614,0.65,9.9636675904494e-05,0.14193494150053718,0.0,0.00811858254372165,0.23140495867768596
2023-07-12,61.6862769365734,62.46994669719674,61.57432106314157,62.39530944824219,13327500,0.0,0.0,0.0,0.0145630375416501,XLU,0.04914723929838587,0.9245242659014231,0.03842318043370721,0.165408931522661,61.64122779846191,0.65,0.01223339762546205,,0.002192915291036293,0.022786298831289242,-0.06200278536971915,-1.3018052846773949,-0.30473681464865143,-0.058784599995470754,0.017150753520503697,0.1,0.0,0.5116190846797941,0,0,0.014563092511640403,0.012985694081605345,0.65,0.0032869907580528965,0.14967555608872163,0.0,0.008401306928856564,0.34710743801652894
2023-07-13,62.39530967206674,62.62854573753651,62.17140504219971,62.60988998413086,9917700,0.0,0.0,0.0,0.0034390491494664,XLU,0.1405749515031215,0.9437484509511457,0.04223009898258584,-0.25584693303320205,61.61438453674317,0.6666666666666666,0.016157029805175416,,0.00242314031709784,0.03071728102966187,-0.07408614766627557,-0.025895843319508373,-0.3569455611173068,-0.053764468190265265,0.07961285510239728,0.1,0.0,0.596980441509704,0,0,0.007326523409840749,0.011961513505555568,0.1,0.018873350965733598,0.14826573009299884,0.0,0.00854805763774944,0.4628099173553719
2023-07-14,62.45128587741879,62.63787186686833,62.01280097263321,62.36731719970703,10142800,0.0,0.0,0.0,-0.0038743525102074,XLU,0.24987832002195787,0.8152317908024437,0.0440981470060875,0.022696794619720295,61.59823806762695,0.65,0.012485407963060968,,0.0020000940218277818,0.014107876713815637,-0.036751187424801615,0.15489148367651437,-0.21335835828072403,-0.03138450558111558,0.09995477844285748,0.1,0.0,0.6963897069177514,0,0,0.009983580779227582,0.01204537961201764,0.2,0.022286229605648997,0.1488817635287558,0.0,0.00836737166058637,0.5537190082644629
2023-07-17,62.16206750713663,62.30201055624699,61.620965297868615,61.64895248413086,10630400,0.0,0.0,0.0,-0.0115182879083268,XLU,0.05985400738085545,0.5565950186981711,0.04365184737546934,0.048073510273297204,61.57124137878418,0.55,0.00126213315837842,,0.0012838737860986441,-0.011961747937646483,-0.019633654552229696,-0.5624833402111675,-0.14340738591953328,-0.054958425838744634,0.029503944675635684,0.05,0.0,0.762719668713261,0,0,0.010919906273947838,0.011446049596687689,0.25,0.0150499790013651,0.15461572078349267,0.0,0.00824811495089441,0.2727272727272727
