date,open,high,low,close,volume,dividends,stock_splits,daily_return,ticker,RSI,bb_pos,bb_width,volume_change,ma_50,price_percentile_60,price_vs_ma50,price_vs_ma252,c_10d_trend,3d_P,vc_5d_mean,vc_5d_trend,volume_momentum_5d,rsi_50,rsi_5d_trend,overbought,oversold,bb_5d_mean,bb_breakout_up,bb_breakout_down,amplitude,amp_5d_mean,amp_percentile,momentum_5d,volatility_22d,market_uptrend,market_volatility,momentum_10d_percentile
2023-07-03,134.87634469892836,135.81811133243227,134.14817553784633,135.2744140625,1862600,0.0,0.0,0.0030956151204148,TMUS,0.41176555214923044,0.9704714643741215,0.10552374468813841,-0.6153004110126609,134.05730392456056,0.4666666666666667,0.009079028910087272,,0.006299244101081554,0.022455433225755828,-0.0754334033948046,0.3829104973166081,-0.5792350961212642,-0.06423912590494424,0.00992796948784303,0.1,0.15,0.8933601180852146,0,0,0.012383016290928769,0.01204625109510837,0.25,0.03285559404234561,0.3109485047890858,0.0,0.009301099433542617,0.9586776859504132
2023-07-05,134.7889792125484,135.58510319154365,133.89576007811047,135.4977264404297,3324300,0.0,0.0,0.0016508101659675,TMUS,0.48211016160414544,0.9228643141043924,0.11464630846409163,0.7847632341887685,133.92798110961914,0.48333333333333334,0.011720816798737044,,0.0059380465167597615,0.019877318115992804,0.09870586101359993,1.4184079722651988,-0.17843461928181303,-0.06470376398367293,0.01348756646183673,0.15,0.1,0.915846420817676,0,0,0.012488267830549724,0.011948428317944624,0.3,0.024717807319396705,0.30842286422865783,0.0,0.009068822377460492,0.9669421487603306
2023-07-06,134.60450685972518,135.65307231353873,134.5171301089009,135.109375,3108600,0.0,0.0,-0.0028661103815673,TMUS,0.6003470006488026,0.8553978337366879,0.1162659302055743,-0.06488584062810221,133.79788192749024,0.4666666666666667,0.009802046591593339,,0.005397859947794701,0.0018718067523308957,0.12443071695935333,0.15769454609764386,-0.0474060000612877,-0.06531937291857418,0.04590081966297264,0.2,0.05,0.9254340646803012,0,0,0.008383477970290883,0.01183324454902412,0.05,0.021117417720828105,0.23694978411667827,0.0,0.009241166699214862,0.9421487603305785
2023-07-07,134.4685909078831,135.8763818569868,133.87634597989089,134.92491149902344,3070500,0.0,0.0,-0.0013652901656644,TMUS,0.4399549115470586,0.8201333041957315,0.10960750695883167,-0.012256321173518603,133.62253952026367,0.45,0.009746648906955313,,0.005027809930339911,-0.002583656088246511,0.1337405534509083,-0.46871518589362515,-0.00029302598163705174,-0.09347408653164962,0.023756471031563493,0.25,0.0,0.9179774506624898,0,0,0.014803087329031838,0.012783155146153335,0.55,0.015569276483368805,0.23664048941048715,0.0,0.0087268161758225,0.8512396694214877
2023-07-10,134.98315045525342,136.26473535643655,134.05110217679322,134.313232421875,5624700,0.0,0.0,-0.0045334776977257,TMUS,0.5786812798103071,0.7510874752493834,0.1088388611300814,0.8318514899853444,133.42952590942383,0.4166666666666667,0.006623020702712035,,0.0032558840641130743,-0.008741799952454832,0.18483443027196625,1.1346826689961225,0.161720057004771,-0.10371883197876713,0.019411798419471202,0.3,0.0,0.8639908783320633,0,0,0.01640640823884732,0.012892851531929709,0.85,-0.004018452958575093,0.21290284384827907,0.0,0.008316498348373709,0.7603305785123967
2023-07-11,133.90544127253648,136.00257183637794,133.8957376844714,135.94432067871094,3639600,0.0,0.0,0.0121439133540672,TMUS,0.6178874787627597,0.8272533777453431,0.11144598691669418,-0.35292548935943246,133.2369010925293,0.5833333333333334,0.020320343418235076,,0.0026633071186246467,0.006179776042269047,0.23730941460261193,-0.5809462379701902,0.9540427359604853,-0.10198465166710946,0.016186652027344706,0.35,0.0,0.8353472610063077,0,0,0.015685976086771587,0.013553443491098272,0.7,0.005029845275077307,0.20379044887376985,0.0,0.00811858254372165,0.6363636363636364
2023-07-12,136.62393632822338,137.1385079516497,135.50741634863138,136.7889862060547,4288500,0.0,0.0,0.0062133197115312,TMUS,0.5995997960835001,0.8451774192945424,0.11305236110820449,0.17828882294757675,133.17845321655273,0.6166666666666667,0.027110488989019244,,0.002600112000286862,0.013815645208296035,0.11601453235437358,0.12557061258537425,0.29004602472701024,-0.02650671496558786,0.011257501628533768,0.4,0.0,0.8198098820443376,0,0,0.01199823276820236,0.0134554364786288,0.3,0.009592354820641007,0.18355507339176802,0.0,0.008401306928856564,0.5950413223140496
2023-07-13,136.98318434916587,137.08998308952604,135.0802438304719,136.59483337402344,3423500,0.0,0.0,-0.0014193601211341,TMUS,0.5186644492822649,0.803824003117699,0.11002781822729261,-0.20170222688585748,133.12952041625977,0.6166666666666667,0.026029636003559453,,0.0020966365106508456,0.016987164339712812,0.08865125510282253,-1.1646247729543693,0.10129962040790064,-0.02070716227933815,0.011498547328900835,0.45,0.0,0.8094951159205399,0,0,0.014692259331659557,0.014717192750902533,0.5,0.011039105081074207,0.1836289912173931,0.0,0.00854805763774944,0.4214876033057851
2023-07-14,134.92488688735293,136.2550044278226,134.42973721085022,135.6142120361328,4053300,0.0,0.0,-0.0071790514594757,TMUS,0.5946176460979138,0.7242702358812068,0.0965185145776517,0.18396377975755795,133.11631546020507,0.55,0.01876476649231229,,0.001091768779128551,-0.0024282635782799655,0.12789527528903782,-0.8949135575144267,0.3200781631656082,0.0017849262279885636,-0.004257583736549945,0.5,0.0,0.7903225022576349,0,0,0.013362637311284231,0.014429102747353012,0.45,0.005225343787262908,0.18523331011121996,0.0,0.00836737166058637,0.34710743801652894
2023-07-17,135.26470859603876,135.58508998558491,133.75982272109704,133.98312377929688,4908900,0.0,0.0,-0.0120274138849204,TMUS,0.2853701492529851,0.5801525998571899,0.09267222702216554,0.2110872622307749,133.07922744750977,0.4,0.006792166960419399,,0.00017207209708177326,-0.02051234170659877,0.003742429738123931,30.29316618670086,-0.1272601205397621,-0.013919153658556241,-0.043986642267481245,0.5,0.0,0.7561355271791962,0,0,0.013459262396492457,0.01383967357888204,0.5,-0.0022685923999317924,0.18932148504628765,0.0,0.00824811495089441,0.1487603305785124
