date,open,high,low,close,volume,dividends,stock_splits,daily_return
2023-03-03,111.82855974246355,113.2270644496876,111.43389821599033,112.83238983154297,2064100,0.0,0.0,0.0
2023-03-06,113.38147052121559,113.47584836106371,111.45961355219036,111.65694427490234,1603900,0.0,0.0,-0.010417625279368292
2023-03-07,111.5368370056278,111.71701765651005,107.92476022348418,108.55107879638672,2368200,0.0,0.0,-0.027816142548813594
2023-03-08,108.43094931723198,112.82378655717511,108.43094931723198,111.57113647460938,2650100,0.0,0.0,0.02782153537034393
2023-03-09,111.6741063707034,112.66936120097442,109.22887069302641,109.70075988769531,1901400,0.0,0.0,-0.01676398256765732
2023-03-10,109.63211890878307,110.28417563862676,107.94190596355048,108.85993957519531,2215900,0.0,0.0,-0.007664671724797345
2023-03-13,108.7655554830645,114.30807664302847,108.49100357422472,112.0344467163086,2447700,0.0,0.0,0.029161389887787603
2023-03-14,113.7408346891025,114.43554394111716,111.3441016826526,113.88845825195312,2765000,1.565,0.0,0.016548584743219408
2023-03-15,112.97663729141475,115.98123514931748,112.6032256989685,115.22574615478516,2746700,0.0,0.0,0.011742084521625396
2023-03-16,114.86973114545903,116.43282358970228,113.38480326128521,115.0781478881836,2261900,0.0,0.0,-0.0012809486727323183
2023-03-17,114.91314482342341,116.0767750743734,112.5250911402695,113.11558532714844,3556700,0.0,0.0,-0.017054172291181557
2023-03-20,112.89850047140358,114.71343151672852,112.62930378658109,113.96662139892578,1885500,0.0,0.0,0.007523596941270361
2023-03-21,113.99267395863062,114.09687570941134,110.79701667976015,112.44695281982422,1890000,0.0,0.0,-0.013334330354342616
2023-03-22,111.43961812887537,113.0200686694752,109.41628367405202,109.48575592041016,2074200,0.0,0.0,-0.026334167579968537
2023-03-23,109.64204565241482,110.76226058096597,107.34951493243376,107.46240234375,3191200,0.0,0.0,-0.01848051885517432
2023-03-24,107.2105924484139,112.48167837316379,106.59404115205383,112.4208984375,2784000,0.0,0.0,0.04614168291053833
2023-03-27,112.82901758183746,113.42820408211846,110.46702095260616,110.69280242919922,1745300,0.0,0.0,-0.015371661606685239
2023-03-28,109.90256275566081,111.16171559758406,109.58994431038215,110.71015930175781,1258800,0.0,0.0,0.00015680217844060707
2023-03-29,111.66537600725697,113.7581823901203,111.66537600725697,113.73213195800781,1838000,0.0,0.0,0.027296254249017382
2023-03-30,115.45154951117692,115.59049401017666,114.14897464662702,115.08683013916016,1299500,0.0,0.0,0.011911305607570366
2023-03-31,115.24313181851323,116.32861073860501,114.50500085266079,116.22439575195312,2379800,0.0,0.0,0.009884411721284181
2023-04-03,115.13023778276876,115.60785115775434,114.08818066946617,114.81761932373047,1863100,0.0,0.0,-0.012103968526754105
2023-04-04,115.06077620998576,116.19835610375922,114.40948879747641,116.09415435791016,1539800,0.0,0.0,0.011117936791394945
