date,open,high,low,close,volume,dividends,stock_splits,daily_return
2023-03-03,146.0625225420964,149.09152169323394,145.36201492513368,149.01258850097656,70732300,0.0,0.0,0.0
2023-03-06,151.7356723720831,154.21215352218627,151.41009374796985,151.775146484375,87558000,0.0,0.0,0.018539091302211208
2023-03-07,151.64685964722966,151.97245328646787,149.11119774886313,149.57492065429688,56182000,0.0,0.0,-0.01449661476890507
2023-03-08,150.768776295138,151.41996369175047,149.80187125635692,150.82797241210938,47204800,0.0,0.0,0.008377418836869044
2023-03-09,151.50874285646216,152.47564779944702,148.22322319539091,148.5784149169922,53833600,0.0,0.0,-0.0149147234371797
2023-03-10,148.20350666672326,148.92375113671451,145.63823135434072,146.51634216308594,68572400,0.0,0.0,-0.01387868321962038
2023-03-13,145.83558063473313,151.09438534791173,145.72704939093524,148.46005249023438,84457100,0.0,0.0,0.013266167435335818
2023-03-14,149.25921331444258,151.35088971565344,148.09498288130473,150.5517120361328,73695900,0.0,0.0,0.014089039514761259
2023-03-15,149.17043689978033,151.2029174267054,147.91739708809698,150.94639587402344,77167900,0.0,0.0,0.002621583192596866
2023-03-16,150.1274466592856,154.3700101664544,149.6143886164517,153.76815795898438,76161100,0.0,0.0,0.018693802317187647
2023-03-17,153.99507952206918,154.64626683139153,152.21912097617263,152.92950439453125,98944600,0.0,0.0,-0.005454013207837338
2023-03-20,152.99860710640667,155.7118730486912,152.09088307007352,155.29747009277344,73641400,0.0,0.0,0.01548403434391088
2023-03-21,155.21854884327422,157.2707512481165,154.44895412275298,157.15235900878906,73938300,0.0,0.0,0.01194410259811396
2023-03-22,157.17209056471103,159.97415053377057,155.7019884063488,155.7217254638672,75701800,0.0,0.0,-0.009103481194589369
2023-03-23,156.70838216666218,159.3920501505052,155.57373460560854,156.80703735351562,67622100,0.0,0.0,0.006969559876218279
2023-03-24,156.73795839634036,158.1981844310787,155.74145533462084,158.10939025878906,59196500,0.0,0.0,0.008305449342412619
2023-03-27,157.80355536791788,158.6224701978729,155.76119879412065,156.1657257080078,52390300,0.0,0.0,-0.012293163281446584
2023-03-28,155.85984584155918,156.3729039229444,153.8964227422894,155.5441131591797,45992200,0.0,0.0,-0.003980467199252047
2023-03-29,157.241143834068,158.8987103608656,157.22142183199622,158.62245178222656,51305700,0.0,0.0,0.019790775494644253
2023-03-30,159.3722627953964,160.2997085779275,159.11574132457395,160.19117736816406,49501700,0.0,0.0,0.009889681872344402
2023-03-31,160.27014967971024,162.79595111857384,159.74723055627194,162.69728088378906,68749800,0.0,0.0,0.015644454062943014
2023-04-03,162.07571848273926,164.06872488806627,162.0263833617239,163.95033264160156,56976200,0.0,0.0,0.007701737552132437
2023-04-04,164.37457023031905,164.6113546852389,162.90446816785285,163.4175262451172,46278300,0.0,0.0,-0.0032498036929824448
2023-04-05,162.53944524256352,162.84530192290984,159.6387146980463,161.57252502441406,51511700,0.0,0.0,-0.011290106166065184
2023-04-06,160.2602872813979,162.75650592852264,159.83603835658786,162.46051025390625,45390100,0.0,0.0,0.005495892506216737
2023-04-10,159.26376357061562,159.86561584472656,157.94166678976978,159.86561584472656,47716900,0.0,0.0,-0.01597246250873019
2023-04-11,160.1813521100088,160.19121311129285,158.36591919116847,158.6520538330078,47644200,0.0,0.0,-0.007591138377732509
2023-04-12,159.0664756179538,159.89525155138986,157.6457082720823,157.96144104003906,50133100,0.0,0.0,-0.004353002537840878
2023-04-13,159.47098360495934,163.58527977239888,159.26378211877287,163.34848022460938,68445600,0.0,0.0,0.034103507470565786
2023-04-14,162.39144539168964,164.09834733508953,161.6317416937249,163.003173828125,49386500,0.0,0.0,-0.002113924757729979
2023-04-17,162.8847588763579,163.18075455042484,161.83892054229136,163.02288818359375,41516200,0.0,0.0,0.00012094461111256116
2023-04-18,163.8812698478859,165.17376867697192,163.43726882906975,164.24632263183594,49923000,0.0,0.0,0.007504679017000138
2023-04-19,163.5852815705882,165.91375779040226,163.3287449605883,165.39083862304688,47720200,0.0,0.0,0.006968289900629365
2023-04-20,163.87135682166968,165.62757827712016,163.34843779588732,164.4238739013672,52456400,0.0,0.0,-0.005846543434510076
2023-04-21,162.84528714652217,164.226580111448,162.29276996055185,162.81568908691406,58337300,0.0,0.0,-0.009780725732187912
2023-04-24,162.79594256316088,163.38793383083043,161.70076925644653,163.1215362548828,41949600,0.0,0.0,0.001878487077529023
2023-04-25,162.98341218856248,164.08844653165775,161.54290808705858,161.58238220214844,48714100,0.0,0.0,-0.009435627496355847
2023-04-26,160.8818784792827,163.07222541881754,160.62535692108122,161.57252502441406,45498800,0.0,0.0,-6.10040376929355e-05
2023-04-27,162.98339664348885,166.30837541189834,162.98339664348885,166.16038513183594,64902300,0.0,0.0,0.028395051118552672
2023-04-28,166.23933019675923,167.5811640335514,165.63747792316207,167.41342163085938,55275900,0.0,0.0,0.007541126593015868
2023-05-01,167.0187740939811,168.17314354860417,166.387323749872,167.3246307373047,52472900,0.0,0.0,-0.0005303690271050154
2023-05-02,167.81796415576136,168.07450075678005,165.3020235951721,166.28866577148438,48425700,0.0,0.0,-0.0061913476889529084
2023-05-03,167.23584575291258,168.63687581044152,164.92710671677185,165.21322631835938,65136000,0.0,0.0,-0.0064673046003200785
