date,open,high,low,close,volume,dividends,stock_splits,daily_return
2023-03-03,43.882193842973116,44.87761684997242,43.86359098943672,44.151981353759766,7866400,0.0,0.0,0.0
2023-03-06,44.34734699669299,45.324163683760226,43.93801675699847,44.57992172241211,7170400,0.0,0.0,0.009692438607082021
2023-03-07,44.058957383666744,44.058957383666744,43.11005206017088,43.32402038574219,6508500,0.0,0.0,-0.028171905381308204
2023-03-08,42.33790004564208,44.10546931956067,42.300690787907214,43.705440521240234,8511400,0.0,0.0,0.008803895208755241
2023-03-09,41.407600482132985,41.668086574770314,38.430646984636354,38.77485656738281,37309900,0.0,0.0,-0.11281396309141944
2023-03-10,38.03061902173473,38.49576845945572,37.27707565505563,37.64919662475586,15478100,0.0,0.0,-0.02903066683614386
2023-03-13,36.917979437356664,37.99340685772155,36.318869563360245,37.31428909301758,13141600,0.0,0.0,-0.008895476179113682
2023-03-14,37.193347862523915,37.96084512901184,36.70773245555879,37.62128448486328,11110700,0.0,0.0,0.008227287704193342
2023-03-15,36.63517041752008,37.10031985154565,36.10490034663562,36.597957611083984,10398100,0.0,0.0,-0.027200742552823454
2023-03-16,36.34677759219387,37.29568289221575,36.1979299107478,37.01659393310547,9824600,0.0,0.0,0.011438789193380927
2023-03-17,36.72820061683338,36.90495613252747,35.88162874893648,36.12350845336914,11476200,0.0,0.0,-0.024126624976632538
2023-03-20,35.35135779443005,36.56074564079356,35.07226883739364,35.965354919433594,11303000,0.0,0.0,-0.004378133262988637
2023-03-21,35.92814263421671,36.83053370559537,35.751387120247244,36.784019470214844,9756500,0.0,0.0,0.022762587846419047
2023-03-22,36.746804274521864,37.09101385254089,35.816505432128906,35.816505432128906,8310900,0.0,0.0,-0.026302564320611066
2023-03-23,37.49104504280559,38.03992153696674,36.872395421229044,37.277076721191406,11071400,0.0,0.0,0.04077927959304217
2023-03-24,37.1375334965976,37.9934104016983,37.07241285204535,37.481746673583984,7345800,0.0,0.0,0.005490504363402149
2023-03-27,36.597959639417276,37.174743975909145,36.42120412226249,37.00728988647461,7330300,0.0,0.0,-0.012658342505787123
2023-03-28,38.216681142980754,38.951614588954435,37.72362030469435,38.6539192199707,14232900,0.0,0.0,0.04449472897224771
2023-03-29,38.06782794875636,38.71903786566688,37.732923337507586,38.30970764160156,7576400,0.0,0.0,-0.008904959324054884
2023-03-30,40.5982457712412,42.01230060670773,40.17030910425773,41.305274963378906,32047000,0.0,0.0,0.07819342684109598
2023-03-31,41.3610844014258,41.6029640802973,40.50521119633179,40.830814361572266,16668800,0.0,0.0,-0.011486683050222934
2023-04-03,40.254034508556444,40.52382204582595,39.030692711971135,39.44467544555664,12816300,0.0,0.0,-0.0339483534112458
2023-04-04,39.19349358696308,39.47723503490659,38.528329732591864,38.9237060546875,8908200,0.0,0.0,-0.013207597349563893
2023-04-05,38.84816252729528,38.91426266248577,37.85665689725077,38.24381637573242,7699300,0.62,0.0,-0.017467239065052986
2023-04-06,38.24381602077457,38.64041682823646,37.6300249400601,38.48933029174805,7171700,0.0,0.0,0.006419702301766472
2023-04-10,37.18621106261564,37.743343353271484,36.87459304819702,37.743343353271484,7750500,0.0,0.0,-0.019381655456772062
2023-04-11,38.28158590038502,38.47988629036264,37.7338949922332,37.78110885620117,10072900,0.0,0.0,0.0010005871121752108
2023-04-12,36.83681725078391,37.00395872427375,34.816033610048535,34.891578674316406,22565000,0.0,0.0,-0.07648081989553612
2023-04-13,35.57146930986075,35.62812811294852,34.986009420036105,35.36372756958008,12818200,0.0,0.0,0.01353188686791107
2023-04-14,35.22208166750311,35.458154605760086,34.41943511830427,34.797149658203125,10708000,0.0,0.0,-0.016021442034417355
2023-04-17,35.75277507019809,36.04361567174466,35.45815577418753,35.930301666259766,10919300,0.0,0.0,0.03256450655260812
2023-04-18,36.16637407251184,36.279688076305526,35.43455011203474,35.62812805175781,9551100,0.0,0.0,-0.008409993807141025
2023-04-19,34.768821663341974,35.07099473270328,34.61773512866132,35.03322219848633,8405100,0.0,0.0,-0.01669764553465314
2023-04-20,34.428878901461935,34.71216572709675,33.9661779267688,34.173919677734375,12624500,0.0,0.0,-0.02452821826903151
2023-04-21,33.52235596681053,33.76315136335351,33.25323297144615,33.64511489868164,10121800,0.0,0.0,-0.015473928189667752
2023-04-24,33.324053926435354,33.37126778953711,32.25700332983894,32.7480354309082,15105600,0.0,0.0,-0.026662993141051472
2023-04-25,31.973718367769305,32.35143289625529,31.662100369635983,31.8226318359375,11859800,0.0,0.0,-0.028258293445514338
2023-04-26,33.012437375659296,33.19185510627737,32.228677128105666,32.32310485839844,8791800,0.0,0.0,0.01572695259905399
2023-04-27,32.41753948961298,32.88024045819276,32.13424906553366,32.81414031982422,9255100,0.0,0.0,0.01519146949455874
2023-04-28,32.74803825231425,33.86230280801185,32.68193811783958,33.7301025390625,8911100,0.0,0.0,0.02791364363993143
2023-05-01,33.73010324018514,33.86230351188244,33.27684362199988,33.512916564941406,5428200,0.0,0.0,-0.006438936077041935
2023-05-02,33.05965124080568,33.07853750730163,31.77541753876375,32.32310485839844,10100400,0.0,0.0,-0.035503078469382054
2023-05-03,32.209789466737185,33.059649809129226,31.92933400480747,32.7480354309082,8096600,0.0,0.0,0.013146341428872832
2023-05-04,33.23907106866026,33.89535356150843,33.087984529346734,33.78675842285156,8961200,0.0,0.0,0.03171863527920182
2023-05-05,33.85757870542676,34.2116880953761,33.550683180366605,33.881187438964844,8962400,0.0,0.0,0.002794852792075364
2023-05-08,33.664001076406535,34.09837440072722,33.257955350832454,33.90007400512695,6574500,0.0,0.0,0.0005574351901371788
2023-05-09,32.757478129602994,33.654555974718136,32.729150530997224,33.63566970825195,6286700,0.0,0.0,-0.0077995197542934935
2023-05-10,32.64416460065432,33.300447060461316,32.52140566795899,33.14463806152344,18060800,0.0,0.0,-0.014598539318158688
2023-05-11,34.41943449894716,35.81698583601789,34.230575431302555,35.53369903564453,26039100,0.0,0.0,0.07207986310444814
2023-05-12,34.88213788822678,34.91046909178972,33.135199494443455,33.333499908447266,17056900,0.0,0.0,-0.06191866275982705
2023-05-15,34.20224820291698,35.98695902703391,33.80092132899879,35.571468353271484,17401800,0.0,0.0,0.06713871783553937
2023-05-16,35.236248579476275,36.07194887193893,35.05211195954806,35.80754470825195,10170200,0.0,0.0,0.006636677255937862
2023-05-17,34.849085163458035,35.552585096296724,34.476089497626084,35.25985336303711,9646200,0.0,0.0,-0.015295417479116558
2023-05-18,34.93879584496346,34.94823717779699,33.6167859126575,33.80564498901367,16761500,0.0,0.0,-0.0412426098047215
2023-05-19,33.626228465441685,33.735767370361735,32.86135088137089,33.106868743896484,11483400,0.0,0.0,-0.020670401210930334
2023-05-22,33.98506164550781,34.51386271976642,33.80564390772394,33.98506164550781,10623700,0.0,0.0,0.026526003060112213
2023-05-23,33.23906870630995,33.711214558382004,33.02188204661925,33.087982177734375,7889100,0.0,0.0,-0.0263962877905215
2023-05-24,32.46475108008167,32.7480378820829,31.64793713875456,31.992605209350586,13984400,0.0,0.0,-0.03310497940007029
2023-05-25,31.444915448529187,31.482687984127963,30.491182338877277,30.632823944091797,13708200,0.0,0.0,-0.04250298643579553
2023-05-26,31.199402535569906,31.539348166447017,30.64699268648831,31.256057739257812,9946600,0.0,0.0,0.020345293542100018
2023-05-30,31.15218644757739,31.23717284924703,29.905719823453815,30.311763763427734,15818600,0.0,0.0,-0.030211550788250552
2023-05-31,30.453410067454616,30.850010888120405,29.80657069901025,30.783910751342773,18734500,0.0,0.0,0.015576361428519148
2023-06-01,31.426027257902554,33.33349696268353,31.397699659030348,32.60639190673828,17095000,0.0,0.0,0.05920239212348988
2023-06-02,33.8434163384301,34.16447567632553,33.34766173064593,33.45625686645508,10321500,0.0,0.0,0.026064366831742847
2023-06-05,33.41848467247153,34.419435230738166,32.95578372920122,34.268348693847656,10798500,0.0,0.0,0.024273242240880233
2023-06-06,34.00866780681258,35.72255968920646,33.890631334567814,35.64701461791992,15402600,0.0,0.0,0.04023146654626464
2023-06-07,34.79714734398157,35.4439884485742,34.57051935555182,34.891578674316406,11110700,0.0,0.0,-0.02119212370799084
2023-06-08,34.98601041450355,35.63285159327303,34.88213774031704,35.165428161621094,6952300,0.0,0.0,0.00784858403401123
2023-06-09,34.97656771224197,35.089881715015245,34.268348891081395,34.54219436645508,8405400,0.0,0.0,-0.017722912182431494
2023-06-12,34.67439621708466,35.35900633453431,34.48553713573006,34.65550994873047,8220200,0.0,0.0,0.003280497500339319
2023-06-13,35.78865937942623,36.65740607526996,35.61868657333729,35.8736457824707,12883900,0.0,0.0,0.035149845884315356
2023-06-14,35.85003439787779,36.714062164607796,35.73482925477234,36.487430572509766,10684000,0.0,0.0,0.01710962955259432
2023-06-15,37.38451121749712,37.83777083361143,37.25231094640385,37.7338981628418,12974500,0.0,0.0,0.03416156113966373
2023-06-16,38.40434288583233,38.41378782034622,37.072891692152815,37.63002395629883,11064900,0.0,0.0,-0.0027528087899822973
2023-06-20,35.92085970409335,35.92463479630392,34.64134479125553,35.09932327270508,17834100,0.0,0.0,-0.06725216775128151
2023-06-21,34.70744474756202,35.193754429015335,34.46664933945478,34.5516357421875,8615900,0.0,0.0,-0.015603934191616875
2023-06-22,34.61773587740326,34.67439467995414,33.87174452032575,34.5516357421875,5355600,0.0,0.0,0.0
2023-06-23,33.871743830907214,33.900075032699604,32.67249288439357,32.927452087402344,12691100,0.0,0.0,-0.04700743162796284
2023-06-26,32.96994858179361,33.34294426962879,32.92745357827451,33.02188491821289,7240900,0.0,0.0,0.0028679057996920942
2023-06-27,33.78675808110828,33.81508928344673,33.446812470544494,33.75843048095703,6349500,0.0,0.0,0.022304770444460775
2023-06-28,33.045491403111654,33.078541472895004,32.26644992714702,32.85191345214844,9907900,0.0,0.0,-0.0268530561371908
2023-06-29,31.9359463818646,32.37031971805578,31.756532247921403,32.12480545043945,10586400,0.0,0.0,-0.0221328965440043
2023-06-30,32.285334858728824,32.56862527621001,31.964275507479137,32.22867965698242,14159600,0.0,0.0,0.0032334579178454614
2023-07-03,33.14463891512592,33.7253799251293,33.078538780938494,33.191856384277344,6531500,0.0,0.0,0.02988570234791621
2023-07-05,33.26267602517783,33.32405729538371,32.936897815309905,33.239070892333984,7196100,0.0,0.0,0.001422472654437179
2023-07-06,32.41753809067957,32.71026623305444,31.92178347212173,32.18146514892578,7103400,0.0,0.0,-0.03181814999684973
2023-07-07,32.729152358363635,34.17391760291561,32.65361089046821,33.76787185668945,12942800,0.0,0.0,0.04929566445847877
2023-07-10,33.33349744601432,34.14086644526224,33.10686944737653,33.947288513183594,8334200,0.0,0.0,0.005313235529191385
2023-07-11,33.90007558494822,34.36277652957843,33.342943303116904,34.013389587402344,7323800,0.0,0.0,0.0019471680099893973
2023-07-12,35.2598543025307,35.72727771299781,34.853808559397756,35.32595443725586,11464000,0.0,0.0,0.03858965148065252
2023-07-13,36.54409165173141,37.2145379334912,36.3457912476369,37.16732406616211,15422600,0.0,0.0,0.05212512041753303
2023-07-14,36.2608033554648,36.28818718125913,35.78865749720191,36.01528549194336,10837000,0.0,0.0,-0.030996005312838526
2023-07-17,35.14653770634589,35.88308406874129,34.863247318790506,35.67533874511719,7310800,0.0,0.0,-0.009438957436620043
2023-07-18,34.658336316131454,34.806591520326634,33.49874554061128,34.0511589050293,17028300,0.0,0.0,-0.04552668305946184
2023-07-19,34.863247640781346,35.2976245580242,34.38166046142578,34.38166046142578,10172900,0.0,0.0,0.009706029604404254
2023-07-20,34.89158234268775,34.901023675620394,34.485536585025145,34.62717819213867,9865500,0.0,0.0,0.007140950361846254
2023-07-21,35.28818490164302,35.57147173199698,34.82548391924197,35.00489807128906,12131700,0.0,0.0,0.010908191162863679
2023-07-24,34.443041850667775,36.68573486828022,34.33445031125039,36.2230339050293,13337900,0.0,0.0,0.03479901102009908
2023-07-25,37.36562447074566,37.4789384727744,36.22303231130561,36.38356018066406,10273600,0.0,0.0,0.004431607690720707
2023-07-26,36.05306018710939,37.044565828481296,36.05306018710939,36.950138092041016,7721200,0.0,0.0,0.01557236038924148
2023-07-27,36.704619681610765,36.82737861895302,35.665900187079274,35.864200592041016,11475300,0.0,0.0,-0.029389267701651955
2023-07-28,37.32784882625489,38.42322702711018,37.143712237478255,38.27214050292969,16992600,0.0,0.0,0.06714048748163215
2023-07-31,38.7915070236851,39.61587116102658,38.49877528285349,39.00869369506836,12149600,0.0,0.0,0.019245152804617582
2023-08-01,38.16826886598013,38.53654565559902,37.77166808018791,37.80944061279297,7522700,0.0,0.0,-0.030743225898564375
2023-08-02,36.83681984870958,36.96902372050206,35.86420049188161,36.11915969848633,11160700,0.0,0.0,-0.044705261091187
2023-08-03,36.95013636671804,37.54503756245095,36.761277300468684,37.35618209838867,8560000,0.0,0.0,0.034248371507773046
2023-08-04,37.65835631296895,37.918034385074336,36.88403735968022,36.9123649597168,6056300,0.0,0.0,-0.011880687847140026
2023-08-07,37.469498605972895,37.469498605972895,36.17581985915734,36.742393493652344,8379100,0.0,0.0,-0.0046047297768633255
2023-08-08,35.46382201478987,35.93974660132609,35.16070515896944,35.930301666259766,7580600,0.0,0.0,-0.022102311531035035
2023-08-09,36.19470436391513,36.24191823079164,35.27874021732484,35.571468353271484,7628500,0.0,0.0,-0.009986927366247067
2023-08-10,36.42133232952687,37.20509620720756,36.053059125194835,36.34579086303711,9801300,0.0,0.0,0.021768078339515995
2023-08-11,35.0332210890668,35.08987988859797,33.88118764942921,34.42887496948242,14070300,0.0,0.0,-0.05274106981956339
2023-08-14,34.372220024698485,34.896302217104825,34.0039432283204,34.712162017822266,5972800,0.0,0.0,0.008228181971991377
2023-08-15,34.183361747531634,34.28723441540037,33.522356808338245,33.9661750793457,9143700,0.0,0.0,-0.021490650397792854
2023-08-16,33.00771987958229,33.82453022683211,32.03037445936558,32.93689727783203,20116300,0.0,0.0,-0.030303023496441872
2023-08-17,33.54124548761456,33.597904292941465,32.488358535627405,32.82358169555664,11094400,0.0,0.0,-0.0034403842389749695
2023-08-18,31.189957854570867,31.407144542250013,30.859457156404222,31.2655029296875,17024400,0.0,0.0,-0.04746827388676045
2023-08-21,31.17106931489277,31.58183752599209,31.02942771264924,31.369373321533203,8220600,0.0,0.0,0.0033222044142164897
2023-08-22,31.917063299079818,32.030377310654956,31.067202808985037,31.4260311126709,8176700,0.0,0.0,0.0018061499207191467
2023-08-23,31.322154412561808,32.08230953022116,31.298549281032887,31.926504135131836,7309800,0.0,0.0,0.015925428848033718
2023-08-24,31.9737185798839,32.162577646473316,31.17106844742564,31.180513381958008,10830400,0.0,0.0,-0.023365876514896633
2023-08-25,31.32215407668586,31.32215407668586,30.524230036699187,31.12385368347168,8541600,0.0,0.0,-0.001817150917056809
2023-08-28,31.81318653591976,32.19562712943324,31.49212720919291,31.926504135131836,10403900,0.0,0.0,0.025788916109909632
2023-08-29,32.672491694881536,33.031323552961744,32.258892185641855,32.57806396484375,8932400,0.0,0.0,0.020408116934886644
2023-08-30,31.907621938767065,32.39865412476161,31.869849400878067,32.07759475708008,8583800,0.0,0.0,-0.015362153144021895
2023-08-31,31.29382799682459,31.459078332521905,31.019982524990663,31.359928131103516,12123800,0.0,0.0,-0.022372831610704247
2023-09-01,31.96427495800598,33.00299806581075,31.917061089966495,32.200347900390625,11907100,0.0,0.0,0.02679916120259085
2023-09-05,31.836795541019224,32.42697786707832,31.671545210160087,32.35143280029297,7669100,0.0,0.0,0.004692026942370697
2023-09-06,32.02093539317517,32.49969131591745,31.898176448265318,31.907621383666992,7200400,0.0,0.0,-0.013718447011779822
2023-09-07,30.670595194848886,30.6894814618571,30.17956305919672,30.538394927978516,12472700,0.0,0.0,-0.04291220706252208
2023-09-08,30.54311829121556,30.676262335013863,30.21733647959502,30.595054626464844,5452700,0.0,0.0,0.0018553594129604445
2023-09-11,30.41563596434547,30.486458565011556,29.886833096277638,30.14179229736328,9831800,0.0,0.0,-0.014814888701309537
2023-09-12,29.95293441434923,30.349537031359937,29.8490635439825,29.962377548217773,7047600,0.0,0.0,-0.005952358352665166
2023-09-13,29.867947520959813,30.12290672794972,29.74519038486852,29.924606323242188,4821200,0.0,0.0,-0.0012606217552262322
2023-09-14,30.122907071736524,30.236222876500932,29.77352012580903,29.95293426513672,6813200,0.0,0.0,0.000946643761609911
2023-09-15,30.0095929482393,30.061527482409765,29.693254270309758,29.811290740966797,7347400,0.0,0.0,-0.004728869729961227
2023-09-18,29.34858763378304,29.43357403570593,28.994478226135517,29.38636016845703,9074400,0.0,0.0,-0.014254014567904094
2023-09-19,28.89532901183278,29.074744955479087,28.71591306818647,28.9330997467041,9668300,0.0,0.0,-0.015424177038415698
2023-09-20,28.630924674091272,29.0454697623642,28.630924674091272,28.65925407409668,7038500,0.0,0.0,-0.009464788598691931
2023-09-21,27.998249329061334,28.385408792818872,27.866049063708086,28.149335861206055,9400900,0.0,0.0,-0.01779244538508451
2023-09-22,29.23055093908938,29.263601006127388,28.663975531005057,28.715911865234375,8385200,0.0,0.0,0.020127508756224266
2023-09-25,27.762177942032235,28.205996230856577,27.71496407352028,28.121009826660156,7537400,0.0,0.0,-0.020716808206061255
2023-09-26,27.337248932191418,27.68663589726975,27.299476394834997,27.412792205810547,10521600,0.0,0.0,-0.02518464398025222
2023-09-27,27.47888933856374,27.5449894706116,27.082286745183062,27.33724594116211,8363600,0.0,0.0,-0.0027558763106381168
2023-09-28,26.798998304417637,27.058679969099618,26.50626837461394,26.95952796936035,12698900,0.0,0.0,-0.013816972368567049
2023-09-29,27.66774707398195,27.903820007381434,27.318360141163105,27.507217407226562,9443800,0.0,0.0,0.020315245819165106
2023-10-02,27.618644983362167,27.639420598272004,27.252261115845524,27.4505615234375,5809400,0.0,0.0,-0.0020596733922704225
2023-10-03,26.70457123490542,26.978414904775534,26.647912433337613,26.874542236328125,7515800,0.0,0.0,-0.020983879933296312
2023-10-04,26.84621560519931,26.97841587810659,26.704572198356704,26.808443069458008,5457100,0.0,0.0,-0.00245954577714691
2023-10-05,27.006745024685472,27.082288294360517,26.67624254444705,27.053958892822266,4877100,0.0,0.0,0.009158153001580516
2023-10-06,27.101174374316994,28.07379373950893,27.06340183919432,27.960479736328125,10870800,0.0,0.0,0.033507881308505016
2023-10-09,27.46944615946451,27.72912602111685,27.22865076329899,27.601646423339844,7493800,0.0,0.0,-0.012833589279302005
2023-10-10,27.998249948315557,28.630925491074915,27.941592947781555,28.583711624145508,7783400,0.0,0.0,0.03557995004150305
2023-10-11,28.76312478825795,29.084184115600394,28.50816739391596,28.649810791015625,8762200,0.0,0.0,0.0023124766908955152
2023-10-12,28.281537513658673,28.281537513658673,26.015235962475654,26.279638290405273,32118900,0.0,0.0,-0.08272908040822458
2023-10-13,25.004846684397446,25.67529480574066,24.89153267586493,25.543092727661133,25593600,0.0,0.0,-0.028027233655383066
2023-10-16,25.12760418595901,26.355182747464145,25.03317465020625,26.100223541259766,14941800,0.0,0.0,0.021811407864299248
2023-10-17,25.45810469380399,25.651686231439037,25.042617620945045,25.165374755859375,16078800,0.0,0.0,-0.03581765435543349
2023-10-18,24.778216187318115,24.79710245525395,24.381613566133794,24.438270568847656,13103400,0.0,0.0,-0.02889304030103601
2023-10-19,23.578965616565686,24.060554651084164,23.512865478687523,23.67339515686035,13496300,0.0,0.0,-0.031298262691400014
2023-10-20,23.144592363096294,23.220135635473483,22.842419273587527,23.021833419799805,18606300,0.0,0.0,-0.027522952780675847
2023-10-23,22.917962546318552,23.560081262081432,22.67244646081547,23.41843605041504,14827200,0.0,0.0,0.017227239176969222
2023-10-24,23.04071827737991,24.17386909474842,23.031275143774252,23.843366622924805,18331400,0.0,0.0,0.01814513025528175
2023-10-25,23.475093592622017,23.85753060048488,23.19180498562308,23.720609664916992,10666800,0.0,0.0,-0.0051484742045523335
2023-10-26,23.805595581860835,24.712116652841704,23.78671111455845,24.476043701171875,17135200,0.0,0.0,0.031847159365898436
2023-10-27,24.759328689149555,24.853758223043105,23.786709352998567,24.22108268737793,14522200,0.0,0.0,-0.010416757581689473
2023-10-30,24.646014895038522,24.72155816256511,24.225805356853538,24.49492835998535,8090900,0.0,0.0,0.011306087186190306
2023-10-31,24.04166553689879,24.164424465078493,23.68283548756762,24.003894805908203,12274600,0.0,0.0,-0.02004633558672886
2023-11-01,24.032226787560624,24.041668120502774,23.569522225274422,23.91891098022461,9874300,0.0,0.0,-0.0035404181850803296
2023-11-02,24.25885549356009,24.40994202904756,23.918909888166496,24.372169494628906,8440900,0.0,0.0,0.018949797287135528
2023-11-03,25.174818088211005,25.646963966536184,25.023731551234434,25.439220428466797,13891200,0.0,0.0,0.04378153262363638
2023-11-06,25.8169371941263,25.897201130232425,25.36651069603141,25.599750518798828,10031800,0.0,0.0,0.006310338431298579
2023-11-07,25.23147530948362,25.363677381311962,24.93874536667374,25.325904846191406,8691900,0.0,0.0,-0.010697200834294374
2023-11-08,25.080389503408263,25.297577984505043,24.90097535962846,24.976518630981445,7328800,0.0,0.0,-0.01379560640900468
2023-11-09,24.797102640234318,24.87642280484416,24.21164093751153,24.315513610839844,7365800,0.0,0.0,-0.02646505823760703
2023-11-10,24.22108421995614,24.376893230903278,23.956683669636632,24.3249568939209,6971800,0.0,0.0,0.00038836453270896243
