date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return
2023-03-03,119.59584947109151,121.31779010181451,118.6755004606636,121.20893859863281,5385200,0.0,0.0,0.0,0.0
2023-03-06,121.54540919831273,122.62904681249374,119.88284345125804,120.1302490234375,6485400,0.0,0.0,0.0,-0.008899422663597889
2023-03-07,120.18467776183167,120.73391843047084,118.2895501853599,118.78931427001953,6616600,0.0,0.0,0.0,-0.011162340578819152
2023-03-08,119.40782906182821,121.99073629093313,119.16042348948086,121.896728515625,8112800,0.0,0.0,0.0,0.02615903850191459
2023-03-09,121.68395473177507,123.48506698068367,119.31875808486264,119.56121826171875,8223000,0.0,0.0,0.0,-0.019159745157614094
2023-03-10,119.97685586947435,120.65969764821324,117.03273114192388,117.62650299072266,13168200,0.0,0.0,0.0,-0.016181796230622325
2023-03-13,116.14207094346453,119.00207871777869,115.18213612747739,117.54733276367188,9831400,0.0,0.0,0.0,-0.0006730645308483663
2023-03-14,119.44740282048588,121.71859162745164,119.23463766036774,121.06543731689453,11314600,0.0,0.0,0.0,0.02992925888242648
2023-03-15,119.24948656432454,119.99170328567926,117.30488237848027,119.7047119140625,12602200,0.0,0.0,0.0,-0.011239586070054597
2023-03-16,119.02186648053049,124.6775616506952,118.64581273793742,124.4944839477539,14744600,0.0,0.0,0.0,0.04001322886211911
2023-03-17,124.63797933428688,125.77109353717017,123.33167821011826,123.86112976074219,9868600,0.0,0.0,0.0,-0.005087407625847251
2023-03-20,124.19759679500247,125.47421044896143,123.05952965695668,125.10804748535156,6521400,0.0,0.0,0.0,0.010067062419162554
2023-03-21,126.11745949230325,127.34953433734418,123.50485740735921,125.50389099121094,11118200,0.0,0.0,0.0,0.0031640131375698655
2023-03-22,125.69192474695531,129.0863293842985,124.69734954833984,124.69734954833984,8938000,0.0,0.0,0.0,-0.006426425798444546
2023-03-23,127.08234112208825,129.60094316618898,125.988812707749,128.01258850097656,10951000,0.0,0.0,0.0,0.026586282424162944
2023-03-24,127.26047590818078,127.47324107026915,124.69735032513347,125.98880767822266,11042800,0.0,0.0,0.0,-0.01580923287664371
2023-03-27,126.31538527145501,126.67164989079036,124.13821930904454,124.51921844482422,7025600,0.0,0.0,0.0,-0.011664442742817194
2023-03-28,124.02935871238968,124.26192054573437,121.93630221228739,123.6532974243164,7771400,0.0,0.0,0.0,-0.006954115447580622
2023-03-29,125.50389602349378,128.2204118736771,125.50389602349378,127.5029296875,9979200,0.0,0.0,0.0,0.031132467498813154
2023-03-30,128.81418852866548,130.1551377058962,128.44308014169647,129.32879638671875,7807000,0.0,0.0,0.0,0.014320194082550142
2023-03-31,128.34411044451542,130.41737024087325,128.0867989983914,130.22933959960938,7281600,0.0,0.0,0.0,0.00696320725198607
2023-04-03,129.5662931722939,130.0511983995521,127.9630948952394,129.48712158203125,8036000,0.0,0.0,0.0,-0.005699314915210918
2023-04-04,129.74938588691123,129.90277614191365,126.87453419092064,127.49800109863281,8057400,0.0,0.0,0.0,-0.015361531394751937
2023-04-05,126.19168233985589,126.39455671594784,123.91554811347183,125.26638793945312,10065600,0.0,0.0,0.0,-0.017503122715259667
2023-04-06,124.0194625740941,125.70181741300259,123.34651912848697,124.89032745361328,7448000,0.0,0.0,0.0,-0.003002086130411974
2023-04-10,123.75226821059844,126.84977565558601,123.54939383265986,126.78050994873047,5991200,0.0,0.0,0.0,0.015134738883755716
2023-04-11,127.24068101652855,127.42375872137454,125.91953618513398,126.1075668334961,6288600,0.0,0.0,0.0,-0.005307938227307241
2023-04-12,127.1961504672408,127.42375936356636,123.7671128904213,123.86607360839844,7749000,0.0,0.0,0.0,-0.017774454629333802
2023-04-13,124.19759490410274,125.57316925559681,123.29703501415923,124.86559295654297,5760400,0.0,0.0,0.0,0.008069355223969676
2023-04-14,124.7963224939765,126.15705314590414,123.36631858359586,124.73199462890625,4901000,0.0,0.0,0.0,-0.001069937077728178
2023-04-17,123.60382259804207,124.68250724444084,123.03478526466345,124.6429214477539,5297000,0.0,0.0,0.0,-0.0007141165457775767
2023-04-18,125.77604725945021,126.58259184894884,124.2569734068631,125.20206451416016,5703600,0.0,0.0,0.0,0.00448595924992512
2023-04-19,123.48506719259213,124.22728390440868,123.20797416154895,124.01451873779297,5013000,0.0,0.0,0.0,-0.00948503350144736
2023-04-20,123.20796985435948,125.95417310212085,123.11395453278102,124.15306091308594,5879800,0.0,0.0,0.0,0.001117144804519965
2023-04-21,123.29703296712799,124.0194605344413,122.00558317423055,122.88139343261719,5202200,0.0,0.0,0.0,-0.010242739656326272
2023-04-24,122.61420214832953,123.38610631961545,121.44149461098164,122.22329711914062,4489000,0.0,0.0,0.0,-0.0053555407787382325
2023-04-25,121.25841459685053,121.27325832676819,118.29450075327325,118.34892272949219,10464600,0.0,0.0,0.0,-0.03169914804271545
2023-04-26,119.55131618801377,120.35290779427456,118.60127973424062,119.17526245117188,7695400,0.0,0.0,0.0,0.006982232728627746
2023-04-27,119.30885345958684,120.4964046639945,117.33950733880596,120.32816314697266,6814200,0.0,0.0,0.0,0.009673993344660348
2023-04-28,120.98131807363913,122.34204864501953,120.5161944157505,122.34204864501953,7553000,0.0,0.0,0.0,0.016736609662918678
2023-05-01,122.69831645207123,123.66319664507103,122.38163763102978,123.2772445678711,5202000,0.0,0.0,0.0,0.0076441087361964755
2023-05-02,123.2376583699691,123.88091434661287,121.22872639769935,122.20845031738281,6717600,0.0,0.0,0.0,-0.008669842145115791
2023-05-03,121.57509806568407,123.0100549310601,120.80813927300952,120.94668579101562,8223000,0.0,0.0,0.0,-0.010324691321183632
2023-05-04,120.38259614580983,121.54540531801852,119.67996524927769,120.54093933105469,5889200,0.0,0.0,0.0,-0.003354754678123406
