date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return
2023-03-03,84.50458261791007,85.23679899720095,84.34500002683875,85.10537719726562,72900,0.0,0.0,0.0,0.0
2023-03-06,85.03027375092687,85.10537396573855,84.4294863563347,84.54212951660156,35000,0.0,0.0,0.0,-0.006618238461695736
2023-03-07,84.2041908187054,84.25113024629715,82.91813358132428,83.05894470214844,40100,0.0,0.0,0.0,-0.017543736157744516
2023-03-08,83.3311746220968,83.96013003823553,83.32179246567117,83.78176879882812,42600,0.0,0.0,0.0,0.00870254370882928
2023-03-09,83.61278885422801,84.00705424481414,81.99817002197913,82.06388092041016,174000,0.0,0.0,0.0,-0.020504316190111282
2023-03-10,81.8198189371323,81.8198189371323,79.83909543274294,80.08316040039062,91400,0.0,0.0,0.0,-0.024136325235952882
2023-03-13,79.07871569259117,80.06438633494551,78.49670692186267,79.27584838867188,62200,0.0,0.0,0.0,-0.010080920978673191
2023-03-14,80.5431399863979,81.07821648499355,79.75460205260126,80.49620056152344,133900,0.0,0.0,0.0,0.015393744723720237
2023-03-15,78.68445173646585,78.68445173646585,77.07922218598306,78.17753601074219,170900,0.0,0.0,0.0,-0.028804645866597034
2023-03-16,77.51104139833865,78.73139492546943,77.19187620130674,78.59058380126953,71300,0.0,0.0,0.0,0.005283458799092644
2023-03-17,78.0555050309688,78.26202705230716,77.42655681103913,77.66123962402344,46500,0.0,0.0,0.0,-0.011825133906577245
2023-03-20,77.90530245276358,78.98484479522517,77.74571986318645,78.78771209716797,118400,0.0,0.0,0.0,0.014504950971656605
2023-03-21,79.81092448081807,80.37416893749285,79.80154232530406,80.22396850585938,79900,0.0,0.0,0.0,0.018229446832014773
2023-03-22,80.28968264269687,80.58068703828594,79.1632080078125,79.1632080078125,71000,0.0,0.0,0.0,-0.013222488463275117
2023-03-23,79.59502598303362,80.44926772246414,78.26202928610394,78.59058380126953,48800,0.0,0.0,0.0,-0.0072334638900239945
2023-03-24,77.9897935324851,78.63751322123412,77.26696646333698,78.48731994628906,53800,0.0,0.0,0.0,-0.0013139469130498682
2023-03-27,78.90036071325679,79.64195206333142,78.61873848673297,79.3321762084961,74700,0.0,0.0,0.0,0.010764238895979439
2023-03-28,79.36034167021526,80.02684000614019,79.36034167021526,79.68889617919922,46600,0.0,0.0,0.0,0.0044965358036519465
2023-03-29,80.44926629633227,80.56191662608548,80.17704053284318,80.48681640625,37800,0.0,0.0,0.0,0.010012941141215759
2023-03-30,81.0406679977258,81.21902205952304,80.55252375229446,80.77782440185547,62300,0.0,0.0,0.0,0.003615598288005728
2023-03-31,81.01251314812568,81.56636117119058,80.90925213332521,81.53820037841797,49400,0.0,0.0,0.0,0.009413177220269908
2023-04-03,81.60390901666281,82.17653566031271,81.481876530719,81.86675262451172,62800,0.0,0.0,0.0,0.004029427244763184
2023-04-04,81.81042824818213,81.81042824818213,80.46804230081388,80.72149658203125,47000,0.0,0.0,0.0,-0.013989269218155909
2023-04-05,80.28029391553223,80.28029391553223,79.14442995444699,79.59502410888672,65900,0.0,0.0,0.0,-0.013955049408676201
2023-04-06,79.45421599162056,79.45421599162056,78.71261741141589,78.87220001220703,47300,0.0,0.0,0.0,-0.009081272413346553
2023-04-10,78.71261729351244,79.9235815179605,78.71261729351244,79.91419219970703,62300,0.0,0.0,0.0,0.013211146479225055
2023-04-11,80.13949077008292,81.13454362038442,80.13949077008292,80.9468002319336,61300,0.0,0.0,0.0,0.012921459928495027
2023-04-12,81.50064613854694,81.61329646588182,80.98434109070084,81.03128051757812,65900,0.0,0.0,0.0,0.0010436519467411642
2023-04-13,81.52880526827268,81.97001008890342,81.0500503392956,81.7916488647461,36100,0.0,0.0,0.0,0.009383639778505204
2023-04-14,81.84798007675036,82.50508908775211,81.48187546177066,81.80104064941406,38800,0.0,0.0,0.0,0.0001148257162966182
2023-04-17,81.92307317076491,82.44876754175486,81.92307317076491,82.383056640625,27100,0.0,0.0,0.0,0.0071150194006133205
2023-04-18,82.49569911002814,82.68344965592048,82.14837313354158,82.41121673583984,31800,0.0,0.0,0.0,0.00034181901428698147
2023-04-19,81.87613570164103,81.91368580875029,81.5569633721877,81.8104248046875,92400,0.0,0.0,0.0,-0.007290171835201975
2023-04-20,81.30351611231353,81.55697040471769,81.05944397603274,81.37861633300781,60700,0.0,0.0,0.0,-0.005278159509751745
2023-04-21,81.21902477003789,81.21902477003789,80.45865474775856,80.75904846191406,141800,0.0,0.0,0.0,-0.0076133989371166555
2023-04-24,80.65579103304749,81.12515667988127,80.59946944725189,81.05005645751953,60900,0.0,0.0,0.0,0.003603410405989438
2023-04-25,80.54314877793861,80.54314877793861,79.30402374267578,79.30402374267578,116800,0.0,0.0,0.0,-0.021542646497216045
2023-04-26,79.49176041729658,79.66073232426997,78.96607322313528,79.24768829345703,54900,0.0,0.0,0.0,-0.0007103731508195654
2023-04-27,79.24768888724171,79.71705450324568,78.82526269761851,79.67950439453125,91600,0.0,0.0,0.0,0.005448942554326486
2023-04-28,79.23830640491869,80.21458057966609,79.1913669787314,80.16764831542969,48100,0.0,0.0,0.0,0.006126342333674817
2023-05-01,80.08315846566677,80.69333519394687,79.98928677561234,80.28968048095703,68800,0.0,0.0,0.0,0.0015222121153808388
2023-05-02,80.0549998898666,80.0549998898666,78.39344872788246,79.37911224365234,45000,0.0,0.0,0.0,-0.011341037003138377
2023-05-03,79.51053398656046,80.22397174169447,79.13504721623305,79.1632080078125,51400,0.0,0.0,0.0,-0.0027199124522472307
2023-05-04,78.81588118581303,78.97546379219109,77.90531065467101,77.96163940429688,73700,0.0,0.0,0.0,-0.015178371793586831
2023-05-05,78.3465114172259,79.754608330897,78.2150896115727,79.51053619384766,32400,0.0,0.0,0.0,0.019867421996072165
2023-05-08,79.49175943051566,79.85786403075485,78.61873911564892,78.72200012207031,77100,0.0,0.0,0.0,-0.009917378369262653
2023-05-09,78.215087890625,78.3652883291817,77.83959395618436,78.215087890625,75100,0.0,0.0,0.0,-0.006439270225086613
2023-05-10,78.84403486058879,78.85342417833726,77.90530362037049,78.39344787597656,45000,0.0,0.0,0.0,0.002280378251328985
2023-05-11,77.19187347374603,77.46409923244182,76.9102512352973,77.44532775878906,58100,0.0,0.0,0.0,-0.012094379605391059
2023-05-12,77.5673659282439,77.67062694578092,76.67557404437126,77.06983947753906,142300,0.0,0.0,0.0,-0.004848430397499159
2023-05-15,77.09799376154197,77.88653172325152,77.08861160579553,77.71755981445312,153300,0.0,0.0,0.0,0.008404329648342257
2023-05-16,77.22003776426575,77.22003776426575,76.34701737985681,76.35639953613281,59700,0.0,0.0,0.0,-0.01751419217960548
2023-05-17,76.5065965813488,76.69433996584777,76.02784164034009,76.40333557128906,114700,0.0,0.0,0.0,0.0006146968091920169
2023-05-18,76.2719169789093,76.64741092565728,75.82132281042146,76.60047149658203,117700,0.0,0.0,0.0,0.0025802005085109325
2023-05-19,77.06983372690529,77.4547169748161,76.41272472065639,76.64740753173828,61000,0.0,0.0,0.0,0.0006127382017269145
2023-05-22,76.65680094208193,76.90086592203251,76.19681745119907,76.57231140136719,139200,0.0,0.0,0.0,-0.0009797608658844714
2023-05-23,76.15925914350846,76.62862474021628,75.89641555526418,76.14048767089844,64800,0.0,0.0,0.0,-0.005639423997602311
2023-05-24,75.84949189825564,75.85887405464979,74.75117083426701,74.8262710571289,128800,0.0,0.0,0.0,-0.01726041760396857
2023-05-25,74.86381849867664,74.86381849867664,73.91569791422481,74.47893524169922,99000,0.0,0.0,0.0,-0.004641896629654307
2023-05-26,74.49771527285952,74.77933752284635,74.28180392627613,74.42261505126953,62100,0.0,0.0,0.0,-0.0007561895218684
2023-05-30,74.20670895681657,74.20670895681657,73.08022714781231,73.3712387084961,105000,0.0,0.0,0.0,-0.014127108299663349
2023-05-31,72.807994686085,72.94880580834999,72.07578544464843,72.4231185913086,120200,0.0,0.0,0.0,-0.012922231297666675
2023-06-01,72.3386252583293,73.22103489374484,71.97252065681664,73.05206298828125,63200,0.0,0.0,0.0,0.008684304255411224
2023-06-02,73.9250862019405,75.17360048777486,73.9250862019405,74.9952392578125,71000,0.0,0.0,0.0,0.026599882194195734
2023-06-05,74.9576919732003,75.07034230615113,74.51648712158203,74.51648712158203,55300,0.0,0.0,0.0,-0.006383767035993526
2023-06-06,73.83121417493018,75.57725487123177,73.83121417493018,75.48338317871094,79800,0.0,0.0,0.0,0.01297559901812484
2023-06-07,75.58663515411402,76.13110098397473,75.40828109132929,75.90580749511719,69500,0.0,0.0,0.0,0.005596255740235367
2023-06-08,76.05600341109971,76.22497532410483,75.15482226238939,75.67112731933594,207300,0.0,0.0,0.0,-0.003091728861409515
2023-06-09,75.51154236285927,75.56786394478264,75.0703375392571,75.2017593383789,25400,0.0,0.0,0.0,-0.0062027354102480725
2023-06-12,75.25808097079897,75.90580781115601,75.19237007119398,75.78377532958984,69100,0.0,0.0,0.0,0.007739393284565299
2023-06-13,76.18743341348195,77.02290367195037,76.18743341348195,76.99473571777344,70100,0.0,0.0,0.0,0.015979150984719803
2023-06-14,77.22002950486687,77.49226240873155,76.26251968272899,76.506591796875,75500,0.0,0.0,0.0,-0.006339964886531213
2023-06-15,76.60046978406139,77.91469498732212,76.60046978406139,77.7269515991211,53600,0.0,0.0,0.0,0.01595104125780633
2023-06-16,77.88652801513672,78.05549991589051,77.69877747988217,77.88652801513672,26800,0.0,0.0,0.0,0.0020530383957246823
2023-06-20,77.07922266382737,77.07922266382737,76.28130254248182,76.55353546142578,67500,0.0,0.0,0.0,-0.017114545835858586
2023-06-21,76.35639813780135,77.55798018060075,76.14049395618554,77.36084747314453,86900,0.0,0.0,0.0,0.010545718193845532
2023-06-22,77.19186716471323,77.19186716471323,76.68495147410728,76.8069839477539,47000,0.0,0.0,0.0,-0.0071594811003447
2023-06-23,75.9902889508015,76.09354995735501,75.59602355957031,75.59602355957031,69200,0.0,0.0,0.0,-0.0157662796524769
2023-06-26,75.6617399662705,76.26252741434594,75.6148076992982,76.04662322998047,77600,0.0,0.0,0.0,0.005960626620196141
2023-06-27,75.99968078914674,76.30007450127968,75.3801218912261,76.18743133544922,103400,0.0,0.0,0.0,0.001851602339303371
2023-06-28,76.05600378940152,76.07478242535723,75.54909520981589,75.76499938964844,63200,0.0,0.0,0.0,-0.005544640873123008
2023-06-29,75.62418777737548,76.29068611045787,75.50215529225936,76.131103515625,117400,0.0,0.0,0.0,0.004832100955927343
2023-06-30,76.5535393732475,76.86331525509144,76.45027835864907,76.7225112915039,36700,0.0,0.0,0.0,0.00776828061815138
2023-07-03,76.73189032247664,77.46409955111429,76.73189032247664,77.32329559326172,17200,0.0,0.0,0.0,0.007830613097050021
2023-07-05,77.03228545183988,77.18248589224507,76.68495946681747,76.90086364746094,78400,0.0,0.0,0.0,-0.005463191171039439
2023-07-06,75.87764562795496,75.90580641841885,75.25807958994645,75.84009552001953,33600,0.0,0.0,0.0,-0.013793968976789639
2023-07-07,75.88703267488496,77.52043024658093,75.88703267488496,77.11677551269531,40300,0.0,0.0,0.0,0.016833839460800526
2023-07-10,76.6192438923808,77.06044154477657,76.36578245514094,76.54414367675781,31200,0.0,0.0,0.0,-0.007425515811967931
2023-07-11,76.82576084392504,77.73633128789696,76.82576084392504,77.71755981445312,43600,0.0,0.0,0.0,0.015329927037273983
2023-07-12,78.5436461329074,78.69384657860734,78.00856957851641,78.0461196899414,42600,0.0,0.0,0.0,0.004227614406225655
2023-07-13,78.49671016654125,78.96607579431115,78.30895961826262,78.79710388183594,61800,0.0,0.0,0.0,0.009622312997468851
2023-07-14,78.71261274171873,78.75016285060978,78.29018655010854,78.5154800415039,63900,0.0,0.0,0.0,-0.003574037958988363
2023-07-17,78.29018493604163,78.7595505445767,78.18692392920784,78.59996795654297,122500,0.0,0.0,0.0,0.0010760669742375661
2023-07-18,78.78771258890409,79.99867673762843,78.78771258890409,79.67950439453125,91500,0.0,0.0,0.0,0.013734565879023553
2023-07-19,79.8672611896259,80.56192035033921,79.8672611896259,80.3178482055664,87900,0.0,0.0,0.0,0.008011392840427511
2023-07-20,80.68394447447513,80.92801659393659,80.27090761302196,80.71211242675781,86000,0.0,0.0,0.0,0.004908799600585878
2023-07-21,80.92802429199219,81.16270711634965,80.41172637557663,80.92802429199219,49200,0.0,0.0,0.0,0.0026750862880748905
2023-07-24,81.01250503237208,81.73532490161257,80.97495492511987,81.32228088378906,393400,0.0,0.0,0.0,0.00487169426470091
2023-07-25,81.37860885448043,82.39243309287993,81.37860885448043,82.17652893066406,79100,0.0,0.0,0.0,0.010504477218189923
2023-07-26,81.97001222203822,82.50508874648385,81.71655793654337,82.2891845703125,49600,0.0,0.0,0.0,0.0013708980059681242
2023-07-27,82.60834504215792,82.60834504215792,81.36922015300357,81.56635284423828,32100,0.0,0.0,0.0,-0.00878404288301815
2023-07-28,81.86674923366007,82.0544997757408,81.68838800917109,81.91368865966797,57300,0.0,0.0,0.0,0.004258322253208657
2023-07-31,82.2047021475021,82.4863244108233,81.94185852144321,82.07328033447266,29900,0.0,0.0,0.0,0.001948290663209562
2023-08-01,81.79165220094454,82.08266376201091,81.25657566859817,81.52880859375,48000,0.0,0.0,0.0,-0.006633970745457907
2023-08-02,80.80598896298117,81.38799776329327,80.65578852293214,80.82476043701172,46100,0.0,0.0,0.0,-0.008635575189703593
2023-08-03,80.49620125669618,80.87169517308259,80.036224969147,80.4680404663086,26400,0.0,0.0,0.0,-0.004413498645394975
2023-08-04,80.61824282260885,81.68839594966482,80.5900820290471,80.62763214111328,43700,0.0,0.0,0.0,0.0019832926697340714
2023-08-07,80.75904390879374,81.25657029838081,80.56191121642625,81.20024871826172,34900,0.0,0.0,0.0,0.007101989255324348
