date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return
2023-03-03,53.97480267514804,54.58254089956318,53.85135471631198,54.48758316040039,8397400,0.0,0.0,0.0,0.0
2023-03-06,54.49707748535445,54.6680043137719,54.383127473878,54.48758316040039,5144800,0.0,0.0,0.0,0.0
2023-03-07,54.696493758451055,54.772462851660556,53.96531115954123,54.003292083740234,5951700,0.0,0.0,0.0,-0.008888099793938453
2023-03-08,54.55405688011178,54.81994146025573,54.440106863250904,54.668006896972656,8046700,0.0,0.0,0.0,0.01230878317939732
2023-03-09,55.13331471140923,55.22827246569745,54.46859956417326,54.573055267333984,5245600,0.0,0.0,0.0,-0.0017368774723691693
2023-03-10,54.44010605574519,54.592040616774625,53.851356462151145,53.91782760620117,9355700,0.0,0.0,0.0,-0.012006431707425658
2023-03-13,53.64245016955006,53.955813625427794,53.395554237131705,53.405052185058594,9131200,0.0,0.0,0.0,-0.009510313080262178
2023-03-14,52.93975332758861,53.30059929727903,52.873282178225374,53.25312042236328,6264400,0.0,0.0,0.0,-0.0028448949393184986
2023-03-15,52.25604141935175,52.35100278337941,51.80973568684154,52.17057800292969,12286100,0.0,0.0,0.0,-0.02032824388219301
2023-03-16,52.588404216469,53.243621370501735,52.550419668361215,53.234127044677734,7071500,0.0,0.0,0.0,0.020385993072346675
2023-03-17,53.2151309819859,53.310088723088974,52.901763916015625,52.901763916015625,5380200,0.0,0.0,0.0,-0.00624342216381546
2023-03-20,53.490515420943915,53.82287114912995,53.44303292628383,53.670936584472656,6567400,0.0,0.0,0.0,0.014539641242929724
2023-03-21,53.87984774088342,54.02228435704261,53.699422955713736,54.003292083740234,4640900,0.0,0.0,0.0,0.006192466918189199
2023-03-22,53.984298794556814,54.61102931211833,53.81337196045771,53.851356506347656,6112900,0.0,0.0,0.0,-0.0028134502829378905
2023-03-23,54.32615454859784,54.59204275763056,53.88934312130912,54.0887565612793,7151300,0.0,0.0,0.0,0.004408432216626901
2023-03-24,54.117248437485465,54.259685060787724,53.898839094758,54.25019073486328,4123000,0.0,0.0,0.0,0.002984616098561821
2023-03-27,54.326150656937,54.54455635493584,54.26917746240155,54.48758316040039,3751800,0.0,0.0,0.0,0.00437588185997928
2023-03-28,54.57304874255686,54.63951988709252,54.487585324953045,54.592041015625,3848900,0.0,0.0,0.0,0.001917094669387387
2023-03-29,54.77246249811287,54.8959104625786,54.7059913531865,54.80094909667969,5225400,0.0,0.0,0.0,0.0038267131466085402
2023-03-30,55.038350255020724,55.17129255254785,54.990871380533314,55.057342529296875,4902900,0.0,0.0,0.0,0.004678631243500098
2023-03-31,55.26625029850443,55.75054058235644,55.22826575244389,55.73154830932617,8427600,0.0,0.0,0.0,0.012245519835443197
2023-04-03,55.731551475079335,55.997439690200856,55.627099401088124,55.98794174194336,8723300,0.0,0.0,0.0,0.0046005079778894675
